Iteration Number,W_0,FRONT ROBOT DISTANCE,BACK ROBOT DISTANCE,THETA
1,0.1,0.986520482779,inf
T,H,E,T,A, ,B,E,L,O,W
-3.0515,-2.9515
0.0904,0.0904
3.1124,3.1124
2,0.1,inf,1.2227648152
T,H,E,T,A, ,B,E,L,O,W
-2.9515,-2.8515
0.0904,0.0904
3.1124,3.1124
3,0.1,0.742817677238,inf
T,H,E,T,A, ,B,E,L,O,W
-2.8515,-2.7515
0.0904,0.0904
3.1124,3.1124
4,0.1,inf,0.586513426262
T,H,E,T,A, ,B,E,L,O,W
-2.7515,-2.6515
0.0904,0.0904
3.1124,3.1124
5,0.1,0.885347773173,inf
T,H,E,T,A, ,B,E,L,O,W
-2.6515,-2.5515
0.0904,0.0904
3.1124,3.1124
6,0.1,1.02385176264,nan
T,H,E,T,A, ,B,E,L,O,W
-2.5515,-2.4515
0.0904,0.0904
3.1124,3.1124
7,0.1,0.926498245036,1.27435355959
T,H,E,T,A, ,B,E,L,O,W
-2.4515,-2.3515
0.0904,0.0904
3.1124,3.1124
8,0.1,1.15226711614,nan
T,H,E,T,A, ,B,E,L,O,W
-2.3515,-2.2515
0.0904,0.0904
3.1124,3.1124
9,0.1,0.956312190155,inf
T,H,E,T,A, ,B,E,L,O,W
-2.2515,-2.1515
0.0904,0.0904
3.1124,3.1124
10,0.1,1.51293630351,1.2800469882
T,H,E,T,A, ,B,E,L,O,W
-2.1515,-2.0515
0.0904,0.0904
3.1124,3.1124
11,0.1,nan,1.33039436186
T,H,E,T,A, ,B,E,L,O,W
-2.0515,-1.9515
0.0904,0.0904
3.1124,3.1124
12,0.1,0.719719258237,1.33057593674
T,H,E,T,A, ,B,E,L,O,W
-1.9515,-1.8515
0.0904,0.0904
3.1124,3.1124
13,0.1,nan,nan
T,H,E,T,A, ,B,E,L,O,W
-1.8515,-1.7515
0.0904,0.0904
3.1124,3.1124
14,0.1,inf,inf
T,H,E,T,A, ,B,E,L,O,W
-1.7515,-1.6515
0.0904,0.0904
3.1124,3.1124
15,0.1,nan,1.34587483025
T,H,E,T,A, ,B,E,L,O,W
-1.6515,-1.5515
0.0904,0.0904
3.1124,3.1124
16,0.1,inf,nan
T,H,E,T,A, ,B,E,L,O,W
-1.5515,-1.4515
0.0904,0.0904
3.1124,3.1124
17,0.1,inf,1.19308550296
T,H,E,T,A, ,B,E,L,O,W
-1.4515,-1.3515
0.0904,0.0904
3.1124,3.1124
